PERMITTED_VALUE	DESCRIPTION	DEFINITION
Pigmented Epithelioid Melanocytoma	None	A cutaneous melanocytic neoplasm composed of heavily pigmented epithelioid and dendritic cells, with metastatic potential limited to regional lymph nodes. It can occur as a sporadic lesion or in patients with Carney complex. (WHO 2018)
Pilar Sheath Acanthoma	None	A benign, small, papular or nodular skin neoplasm that usually arises above the upper lip. It is characterized by an epithelial proliferation with a central cavity. The cavity wall is lined with keratinocytes.
Pilomatrical Carcinoma	None	A very rare, locally aggressive, malignant neoplasm of the hair follicle. The majority of the cases arise de novo, however malignant transformation from a pre-existing pilomatricoma has been reported. It usually presents as a solitary nodule in the head and neck, upper extremities, or buttocks. Morphologically, it is characterized by the presence of aggregates of basaloid cells infiltrating the dermis. Masses of ghost cells are present in the cellular aggregates. Complete surgical excision is the treatment of choice. If it is not completely removed, it usually recurs, but it rarely metastasizes to distant anatomic sites.
Malignant Type B1 Thymoma	None	A type B1 thymoma which is characterized by an aggressive clinical course (capsular invasion, infiltration of the surrounding tissues) and can metastasize.
Mantle Cell Lymphoma	None	An aggressive, usually diffuse non-Hodgkin lymphoma composed of small to medium sized B-lymphocytes (centrocytes).  Most patients present with advanced stage disease with lymphadenopathy, hepatosplenomegaly, and bone marrow involvement.  The gastrointestinal tract is the most commonly affected extranodal site by this type of non-Hodgkin lymphoma.  The vast majority of cases express the t(11;14)(q13;q32) resulting in the rearrangement of the BCL-1 gene and the overexpression of cyclin D1 mRNA.
Mast Cell Leukemia	None	A variant of systemic mastocytosis with involvement of the bone marrow (20% or more mast cells) and the peripheral blood (mast cells account for 10% or more of peripheral blood white cells). (WHO, 2001) -- 2003
Mastocytoma	None	A localized tumor composed of sheets of mast cells without atypia. It includes the cutaneous mastocytoma which involves the dermis and subcutaneous tissue, and the extracutaneous mastocytoma. Most cases of extracutaneous mastocytoma have been reported in the lung.
Medulloblastoma, Non-WNT/Non-SHH	None	Medulloblastoma not associated with activation of the WNT pathway or sonic hedgehog (SHH) pathway. TP53 mutations are absent. This molecular subtype includes medulloblastomas numerically designated as "group 3" and "group 4".
Medulloblastoma, SHH-Activated, TP53-Mutant	None	Medulloblastoma associated with activation of the sonic hedgehog (SHH) pathway and the presence of TP53 mutations.
Medulloepithelioma Not Otherwise Specified	None	A rare, unilateral, benign or malignant embryonic neoplasm typically presenting as a cilliary body mass during childhood. It is composed of medullary epithelial cells.
Melanocytoma	None	A benign neoplastic melanocytic proliferation affecting the meninges or the eye.
Melanoma Arising in Giant Congenital Nevus	None	A melanoma arising in a giant congenital melanocytic nevus. The risk of developing a melanoma in a giant congenital melanocytic nevus has been reported to be between 5% and 50%. The incidence of developing melanoma is higher before the age of 10 and in adult life.
Melanoma	None	A malignant, usually aggressive tumor composed of atypical, neoplastic melanocytes. Most often, melanomas arise in the skin (cutaneous melanomas) and include the following histologic subtypes: superficial spreading melanoma, nodular melanoma, acral lentiginous melanoma, and lentigo maligna melanoma. Cutaneous melanomas may arise from acquired or congenital melanocytic or dysplastic nevi. Melanomas may also arise in other anatomic sites including the gastrointestinal system, eye, urinary tract, and reproductive system. Melanomas frequently metastasize to lymph nodes, liver, lungs, and brain.
Melanotic Neurofibroma	None	A rare neurofibroma characterized by the presence of melanin-laden cells and the absence of atypia.
Meningeal Melanocytoma	None	A usually well differentiated melanocytic neoplasm arising from the meninges. It is characterized by the presence of epithelioid, fusiform, polyhedral, and spindle melanocytes without evidence of hemorrhage, necrosis, or high mitotic activity. Presenting symptoms include headache, vomiting, and neurological manifestations. Complete excision is usually curative.
Pilomyxoid Astrocytoma	None	An astrocytic tumor of uncertain relation to pilocytic astrocytoma.  It occurs predominantly in infants and young children.  It is characterized by a monomorphic architectural pattern, usually associated with the absence of Rosenthal fibers and eosinophilic granular bodies.  The clinical course is usually aggressive.
Pineoblastoma	None	Pineoblastoma (WHO grade IV) is a highly malignant, primitive embryonal neoplasm, which occurs more commonly in children. It is composed of patternless sheets of densely packed small cells with round-to-irregular nuclei and scant cytoplasm, similar to medulloblastoma and related primitive neuroectodermal tumors. A frequent complication is metastasis via cerebrospinal fluid pathways, which is often associated with a fatal outcome. (Adapted from WHO.)
Pituicytoma	None	An extremely rare, WHO grade I, circumscribed and slow-growing tumor that arises from the neurohypophysis or infundibulum and described in adults.  It is characterized by the presence of elongated, spindle-shaped neoplastic glial cells that form storiform patterns or interlacing fascicular arrangements.  Signs and symptoms include visual disturbances, headache, amenorrhea, and decreased libido.
Pituitary Gland Acidophil Carcinoma	None	A malignant epithelial neoplasm of the anterior pituitary gland in which the neoplastic cells stain positive with acidic dyes.
Pituitary Gland Blastoma	None	A rare developmental early childhood neoplasm, arising within the fetal anterior pituitary. It is associated with DICER1 mutations. Patients present with features of Cushing disease, with elevated blood ACTH levels and hypercortisolism. Ophthalmoplegia is a frequent symptom. The overall prognosis is poor. (WHO)
Meningeal Melanomatosis	None	A meningeal melanoma with secondary diffuse meningeal spread. (WHO)
Pituitary Gland Mixed Acidophil-Basophil Adenoma	None	An epithelial neoplasm of the anterior pituitary gland in which the neoplastic cells stain positive with acidic and basic dyes.
Pituitary Neuroendocrine Tumor	None	A well-differentiated neuroendocrine neoplasm that arises from the adenohypophysial cells of the anterior lobe of the pituitary gland. The tumor can be hormonally functioning or not. It has a low frequency of metastatic spread. When metastatic, the term metastatic pituitary neuroendocrine tumor is endorsed instead of pituitary carcinoma. (WHO)
Plasma Cell Leukemia	None	An aggressive plasma cell neoplasm with usually short survival. It is characterized by the presence of neoplastic plasma cells in the peripheral blood. The peripheral blood plasma cells comprise more than 20% of the peripheral blood white cells. It may be the initial presentation of a plasma cell neoplasm or manifest as a terminal complication of plasma cell myeloma. Lymphadenopathy and organomegaly are frequent clinical signs, whereas bone pain and osteolytic lesions are less frequently present.
Meningioma	None	A generally slow growing tumor attached to the dura mater. It is composed of neoplastic meningothelial (arachnoidal) cells. It typically occurs in adults, often women and it has a wide range of histopathological appearances. Of the various subtypes, meningothelial, fibrous and transitional meningiomas are the most common. Most meningiomas are WHO grade I tumors, and some are WHO grade II or III tumors. Most subtypes share a common clinical behavior, although some subtypes are more likely to recur and follow a more aggressive clinical course. (Adapted from WHO)
Merkel Cell Carcinoma	None	A rare malignant cutaneous tumor seen in elderly patients.  Its usual location is on the head, neck and extremities.  The tumor is composed of small round cells with scanty cytoplasm arranged in a trabecular pattern, or in ill-defined nodules or in a diffuse pattern.  The tumor cells contain cytoplasmic membrane-bound dense core granules resembling neurosecretory granules.
